symbol,value
‘,0
‹,1
ƒ,2
ˆ,3
’,4
›,5
œ,6
‰,7
–,8
ˆ,9
–,10
š,11
’,12
‘,13
‡,14
‡,15
ƒ,16
†,17
–,18
š,19
„,20
œ,21
ˆ,22
Ž,23
‡,24
ƒ,25
•,26
‡,27
‰,28
Œ,29
Ÿ,30
ƒ,31
™,32
‡,33
’,34
–,35
Ÿ,36
Ÿ,37
™,38
‹,39
—,40
–,41
…,42
„,43
–,44
›,45
”,46
…,47
Š,48
ˆ,49
•,50
Ÿ,51
†,52
…,53
•,54
†,55
š,56
Œ,57
™,58
‹,59
”,60
œ,61
œ,62
“,63
Œ,64
€,65
‰,66
–,67
“,68
˜,69
—,70
‹,71
‘,72
’,73
€,74
’,75
„,76
Œ,77
›,78
‡,79
š,80
Œ,81
†,82
š,83
œ,84
†,85
…,86
ƒ,87
•,88
„,89
“,90
ž,91
Ž,92
‰,93
ƒ,94
™,95
ˆ,96
‚,97
ƒ,98
’,99
„,100
—,101
‰,102
Ÿ,103
ž,104
œ,105
ˆ,106
Ÿ,107
Ÿ,108
Ž,109
…,110
ˆ,111
ž,112
˜,113
›,114
˜,115
”,116
–,117
™,118
”,119
˜,120
Š,121
—,122
•,123
Š,124
‡,125
œ,126
€,127
Ÿ,128
”,129
—,130
ˆ,131
š,132
ž,133
ƒ,134
€,135
“,136
›,137
™,138
—,139
›,140
›,141
‰,142
‹,143
œ,144
‰,145
‘,146
“,147
‡,148
™,149
ƒ,150
˜,151
˜,152
š,153
›,154
‹,155
‘,156
‰,157
š,158
˜,159
œ,160
‹,161
œ,162
Œ,163
Œ,164
…,165
ˆ,166
‘,167
š,168
Ž,169
–,170
Ž,171
‚,172
€,173
“,174
›,175
”,176
ž,177
—,178
Œ,179
‹,180
œ,181
€,182
š,183
ž,184
œ,185
Œ,186
Ž,187
€,188
Œ,189
„,190
˜,191
‚,192
—,193
‹,194
ˆ,195
˜,196
Ÿ,197
Ÿ,198
•,199
›,200
œ,201
‹,202
’,203
ˆ,204
†,205
ƒ,206
‡,207
„,208
•,209
•,210
“,211
‘,212
†,213
˜,214
Œ,215
•,216
Ž,217
ˆ,218
…,219
‚,220
ˆ,221
ƒ,222
˜,223
‰,224
Œ,225
‰,226
–,227
“,228
ƒ,229
„,230
™,231
™,232
ƒ,233
“,234
š,235
˜,236
‰,237
š,238
€,239
‘,240
š,241
‹,242
˜,243
“,244
…,245
†,246
Œ,247
’,248
„,249
˜,250
…,251
ƒ,252
š,253
‚,254
†,255
Ÿ,256
˜,257
‹,258
™,259
–,260
›,261
ˆ,262
…,263
“,264
—,265
‘,266
Ž,267
š,268
˜,269
†,270
‘,271
†,272
“,273
Š,274
Š,275
€,276
”,277
Ž,278
”,279
†,280
™,281
Ÿ,282
–,283
ƒ,284
†,285
Ž,286
ˆ,287
‹,288
“,289
Ÿ,290
ƒ,291
•,292
—,293
€,294
š,295
˜,296
›,297
„,298
‡,299
ˆ,300
‰,301
”,302
—,303
‰,304
›,305
‚,306
”,307
š,308
ƒ,309
–,310
ž,311
˜,312
‰,313
Ž,314
–,315
ž,316
œ,317
’,318
š,319
†,320
‚,321
‹,322
„,323
–,324
’,325
†,326
•,327
‡,328
‡,329
—,330
†,331
†,332
œ,333
€,334
—,335
ƒ,336
„,337
ƒ,338
‰,339
Š,340
˜,341
“,342
‰,343
€,344
€,345
ƒ,346
”,347
œ,348
„,349
ž,350
œ,351
˜,352
‡,353
ž,354
•,355
‘,356
Š,357
‚,358
š,359
—,360
…,361
š,362
š,363
•,364
‰,365
…,366
–,367
”,368
‹,369
…,370
–,371
‚,372
˜,373
›,374
œ,375
’,376
ˆ,377
“,378
‘,379
‹,380
‹,381
‡,382
’,383
…,384
‹,385
“,386
‹,387
’,388
€,389
›,390
„,391
Ž,392
€,393
–,394
‡,395
˜,396
‘,397
ƒ,398
ˆ,399
Š,400
‘,401
€,402
ƒ,403
ƒ,404
‡,405
Š,406
†,407
€,408
—,409
Š,410
‹,411
’,412
‹,413
†,414
ƒ,415
ž,416
ƒ,417
’,418
Œ,419
Ž,420
‹,421
›,422
“,423
’,424
‡,425
‹,426
’,427
„,428
ˆ,429
‹,430
‡,431
›,432
‚,433
Š,434
‹,435
Ž,436
‹,437
€,438
Š,439
”,440
†,441
Ž,442
ž,443
•,444
–,445
„,446
ˆ,447
™,448
Š,449
“,450
‹,451
„,452
Ž,453
š,454
†,455
–,456
„,457
™,458
›,459
’,460
Ž,461
–,462
”,463
ž,464
Ž,465
‡,466
€,467
—,468
”,469
€,470
˜,471
˜,472
˜,473
ƒ,474
Œ,475
Š,476
ˆ,477
†,478
‚,479
‚,480
œ,481
”,482
‹,483
›,484
…,485
œ,486
•,487
“,488
ž,489
š,490
‹,491
‘,492
ƒ,493
†,494
–,495
†,496
„,497
“,498
‹,499
