studentId,class
1,10E
2,11M
3,8B
4,11O
5,10H
6,2Z
7,6U
8,1F
9,10C
10,9Q
11,6M
12,5T
13,7T
14,2P
15,7U
16,2A
17,8O
18,5D
19,5R
20,4R
21,10K
22,12M
23,2Z
24,10P
25,6O
26,2K
27,10O
28,5H
29,4Q
30,11O
31,12M
32,5Q
33,2X
34,1V
35,1K
36,7R
37,12K
38,3L
39,8A
40,1K
41,11F
42,7J
43,3B
44,8Q
45,6M
46,10G
47,10N
48,10L
49,2X
50,9V
51,12B
52,6T
53,4N
54,9V
55,3X
56,11M
57,2Z
58,7J
59,11E
60,8I
61,8C
62,10Y
63,7L
64,2K
65,3D
66,10V
67,5F
68,9P
69,2C
70,12Z
71,4V
72,3H
73,6I
74,4G
75,9L
76,4Y
77,3D
78,9Y
79,11H
80,5A
81,5Y
82,3Z
83,11S
84,10G
85,5L
86,8I
87,7J
88,1K
89,7M
90,12V
91,6R
92,11I
93,7M
94,10Q
95,2X
96,9W
97,4V
98,6M
99,2V
100,3V
101,5X
102,5O
103,10I
104,7V
105,12U
106,5B
107,7D
108,6I
109,10K
110,11W
111,3V
112,5B
113,10H
114,3X
115,6P
116,5I
117,8K
118,6S
119,5G
120,11S
121,1M
122,2T
123,5B
124,1U
125,10B
126,12N
127,9F
128,6A
129,3P
130,9E
131,6R
132,10T
133,10J
134,12Y
135,12X
136,11E
137,10U
138,10P
139,10H
140,11H
141,2L
142,9V
143,1L
144,10W
145,3B
146,10B
147,10V
148,1A
149,1Z
150,10B
151,4U
152,6V
153,10J
154,4Y
155,6K
156,2I
157,10V
158,9Y
159,11H
160,4X
161,5R
162,8S
163,1X
164,11F
165,10V
166,7M
167,7W
168,5I
169,6X
170,6M
171,8Q
172,6N
173,1E
174,6R
175,1G
176,7F
177,1O
178,11Y
179,3A
180,11S
181,7O
182,3E
183,5J
184,8X
185,10C
186,6I
187,7C
188,1W
189,12A
190,9C
191,3L
192,3U
193,3X
194,3Z
195,8R
196,5Y
197,8O
198,3I
199,2X
200,1M
201,11A
202,12T
203,1T
204,1R
205,8E
206,9E
207,1Q
208,8X
209,7V
210,2R
211,3T
212,2J
213,7I
214,4B
215,9L
216,12K
217,8I
218,1D
219,8W
220,1T
221,9O
222,3Q
223,7E
224,1A
225,3E
226,5V
227,10L
228,8V
229,1L
230,10X
231,11M
232,4D
233,11O
234,8Z
235,3J
236,6E
237,4S
238,5A
239,2D
240,1F
241,7U
242,7S
243,11V
244,2F
245,4G
246,1E
247,11P
248,10C
249,1Z
250,8B
251,12W
252,9F
253,11Z
254,6N
255,4L
256,2N
257,4B
258,8G
259,7D
260,2Z
261,5S
262,8Q
263,7A
264,11K
265,12M
266,11S
267,1C
268,2Z
269,3K
270,1Y
271,2I
272,7Y
273,8H
274,1F
275,5Z
276,3V
277,12K
278,7O
279,10W
280,4S
281,2H
282,7Z
283,11F
284,11B
285,6W
286,6I
287,11O
288,8Z
289,8R
290,1W
291,11G
292,10Y
293,6O
294,9L
295,12K
296,1Y
297,5A
298,3L
299,8M
300,1P
301,12T
302,9N
303,5V
304,3E
305,3I
306,10O
307,1U
308,1A
309,2V
310,12G
311,5C
312,8D
313,4L
314,5Y
315,11J
316,8B
317,4S
318,2H
319,3K
320,8Z
321,4Q
322,8F
323,7P
324,7I
325,9S
326,8K
327,12A
328,9T
329,9V
330,11J
331,2H
332,2N
333,3G
334,3K
335,4Y
336,6U
337,11Y
338,1W
339,5G
340,12Z
341,5B
342,4A
343,1V
344,2Q
345,12P
346,9S
347,7H
348,2W
349,3C
350,11G
351,9F
352,6P
353,2A
354,3J
355,2E
356,2A
357,12V
358,1G
359,7X
360,10L
361,4O
362,11T
363,7X
364,2Y
365,1W
