symbol,value
œ,0
ˆ,1
„,2
›,3
‡,4
•,5
Š,6
”,7
ž,8
‹,9
ž,10
…,11
ž,12
œ,13
…,14
‘,15
—,16
™,17
Ž,18
‡,19
”,20
…,21
™,22
‹,23
œ,24
›,25
Ÿ,26
Œ,27
”,28
ˆ,29
™,30
‡,31
’,32
Š,33
›,34
ˆ,35
š,36
‚,37
‰,38
Œ,39
œ,40
”,41
“,42
Œ,43
Ž,44
„,45
‚,46
”,47
˜,48
–,49
ž,50
™,51
…,52
ƒ,53
†,54
ƒ,55
š,56
—,57
Œ,58
“,59
•,60
†,61
‡,62
ž,63
š,64
ƒ,65
‚,66
’,67
ƒ,68
œ,69
Š,70
‡,71
Ÿ,72
…,73
“,74
Ž,75
…,76
–,77
—,78
ž,79
ž,80
‘,81
‰,82
‡,83
„,84
Ÿ,85
Œ,86
•,87
€,88
ž,89
ƒ,90
‹,91
˜,92
Ÿ,93
†,94
‘,95
’,96
‚,97
ž,98
†,99
ˆ,100
’,101
›,102
€,103
ž,104
“,105
–,106
—,107
„,108
–,109
‚,110
“,111
‚,112
•,113
–,114
ž,115
š,116
›,117
‘,118
„,119
‹,120
‰,121
–,122
„,123
‘,124
•,125
ƒ,126
—,127
‰,128
—,129
ƒ,130
ž,131
ˆ,132
Ÿ,133
“,134
Ÿ,135
•,136
š,137
ƒ,138
€,139
…,140
“,141
‚,142
”,143
Œ,144
Š,145
“,146
•,147
…,148
•,149
ž,150
™,151
‡,152
Ÿ,153
Ÿ,154
‡,155
“,156
•,157
ƒ,158
”,159
˜,160
”,161
Š,162
…,163
‘,164
Œ,165
‰,166
—,167
›,168
”,169
‚,170
—,171
‹,172
”,173
…,174
—,175
’,176
–,177
•,178
Ÿ,179
’,180
™,181
†,182
‘,183
…,184
›,185
œ,186
‡,187
Œ,188
“,189
›,190
—,191
€,192
Š,193
Œ,194
“,195
™,196
Ÿ,197
‡,198
€,199
š,200
‹,201
˜,202
˜,203
–,204
œ,205
œ,206
‰,207
‹,208
„,209
„,210
‘,211
‰,212
‘,213
„,214
†,215
”,216
‹,217
›,218
†,219
˜,220
—,221
’,222
›,223
†,224
—,225
Š,226
Ž,227
’,228
’,229
œ,230
Ž,231
‚,232
’,233
Š,234
“,235
”,236
€,237
“,238
—,239
€,240
›,241
‘,242
“,243
Š,244
–,245
”,246
„,247
Œ,248
Š,249
†,250
“,251
œ,252
•,253
‘,254
œ,255
‹,256
’,257
ƒ,258
–,259
Ž,260
ž,261
•,262
Œ,263
”,264
ƒ,265
‚,266
‰,267
Ÿ,268
Ž,269
”,270
˜,271
‡,272
’,273
‰,274
ž,275
Œ,276
–,277
’,278
†,279
†,280
‹,281
˜,282
€,283
‰,284
Š,285
“,286
œ,287
“,288
•,289
Š,290
˜,291
™,292
œ,293
‡,294
˜,295
ˆ,296
ž,297
ƒ,298
“,299
ƒ,300
‡,301
’,302
„,303
†,304
‚,305
–,306
’,307
”,308
™,309
›,310
›,311
‚,312
‡,313
•,314
š,315
Š,316
‹,317
™,318
Œ,319
˜,320
€,321
Š,322
‡,323
‚,324
•,325
š,326
˜,327
„,328
„,329
“,330
”,331
ˆ,332
‹,333
š,334
›,335
ƒ,336
‰,337
Ž,338
›,339
Š,340
ƒ,341
ˆ,342
˜,343
—,344
Š,345
Œ,346
—,347
Œ,348
†,349
š,350
š,351
š,352
”,353
ƒ,354
‰,355
Ž,356
ƒ,357
Ÿ,358
†,359
‹,360
Œ,361
‘,362
•,363
œ,364
œ,365
ˆ,366
”,367
œ,368
“,369
…,370
Œ,371
„,372
Š,373
Š,374
–,375
–,376
‚,377
„,378
š,379
•,380
Œ,381
›,382
’,383
†,384
ž,385
š,386
‘,387
‰,388
™,389
‘,390
ƒ,391
Ž,392
›,393
ˆ,394
‚,395
‘,396
…,397
Œ,398
Œ,399
ž,400
–,401
Ÿ,402
Ž,403
‰,404
–,405
•,406
‘,407
…,408
–,409
‹,410
„,411
—,412
Ÿ,413
„,414
„,415
€,416
ž,417
’,418
›,419
Ÿ,420
ˆ,421
›,422
„,423
‘,424
‰,425
†,426
›,427
Š,428
‰,429
“,430
’,431
š,432
“,433
Ž,434
™,435
•,436
Š,437
ˆ,438
‹,439
Ž,440
ƒ,441
”,442
†,443
—,444
”,445
„,446
™,447
›,448
„,449
›,450
†,451
ž,452
œ,453
—,454
†,455
ž,456
™,457
š,458
›,459
Ž,460
‚,461
ƒ,462
‚,463
ƒ,464
“,465
ƒ,466
‹,467
˜,468
œ,469
š,470
‡,471
•,472
”,473
‚,474
…,475
˜,476
Ž,477
“,478
‘,479
’,480
“,481
Ž,482
Ž,483
–,484
‡,485
š,486
•,487
—,488
“,489
‘,490
”,491
š,492
‘,493
”,494
Ÿ,495
œ,496
•,497
‰,498
•,499
